ProductID,ProductNumber,ProductName,CategoryName,SubcategoryName,Color,ListPrice,TotalRevenue,TotalRevenuePerCategory,TotalOrders,TotalOrderPerCategory,TotalQuantitySold,AverageSellingPrice,AverageRevenuePerOrder,NumberOfCustomersPurchasing,CustomerPerCategory
782,BK-M68B-38,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,2294.99,4400592.800399983,94651172.70473431,1252,18368,2977,1478.2,3514.85,701,9719
783,BK-M68B-42,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,2294.99,4009494.761840979,94651172.70473431,1177,18368,2664,1505.07,3406.54,738,9719
779,BK-M68S-38,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,Silver,2319.99,3693678.0252719996,94651172.70473431,1094,18368,2394,1542.89,3376.31,702,9719
780,BK-M68S-42,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,Silver,2319.99,3438478.8604230005,94651172.70473431,1040,18368,2234,1539.16,3306.23,665,9719
781,BK-M68S-46,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,Silver,2319.99,3434256.941928001,94651172.70473431,1054,18368,2216,1549.75,3258.31,689,9719
784,BK-M68B-46,"Mountain-200 Black, 46",Bikes,Mountain Bikes,Black,2294.99,3309673.2169079985,94651172.70473431,1059,18368,2111,1567.82,3125.28,692,9719
793,BK-R89B-44,"Road-250 Black, 44",Bikes,Road Bikes,Black,2443.35,2516857.3149179984,94651172.70473431,705,18368,1642,1532.8,3570.01,359,9719
794,BK-R89B-48,"Road-250 Black, 48",Bikes,Road Bikes,Black,2443.35,2347655.953453997,94651172.70473431,712,18368,1498,1567.19,3297.27,378,9719
795,BK-R89B-52,"Road-250 Black, 52",Bikes,Road Bikes,Black,2443.35,2012447.7749999973,94651172.70473431,667,18368,1245,1616.42,3017.16,399,9719
753,BK-R93R-56,"Road-150 Red, 56",Bikes,Road Bikes,Red,3578.27,1847818.6280000056,94651172.70473431,475,18368,664,2782.86,3890.14,359,9719
976,BK-R79Y-48,"Road-350-W Yellow, 48",Bikes,Road Bikes,Yellow,1700.99,1774883.5570849988,94651172.70473431,566,18368,1622,1094.26,3135.84,329,9719
749,BK-R93R-62,"Road-150 Red, 62",Bikes,Road Bikes,Red,3578.27,1769096.6880000054,94651172.70473431,470,18368,600,2948.49,3764.04,395,9719
969,BK-T79U-60,"Touring-1000 Blue, 60",Bikes,Touring Bikes,Blue,2384.07,1721242.5143550008,94651172.70473431,439,18368,1120,1536.82,3920.83,243,9719
973,BK-R79Y-40,"Road-350-W Yellow, 40",Bikes,Road Bikes,Yellow,1700.99,1657198.1825489977,94651172.70473431,573,18368,1477,1122.0,2892.14,345,9719
792,BK-R89R-58,"Road-250 Red, 58",Bikes,Road Bikes,Red,2443.35,1587008.1824999982,94651172.70473431,526,18368,946,1677.6,3017.13,345,9719
966,BK-T79U-46,"Touring-1000 Blue, 46",Bikes,Touring Bikes,Blue,2384.07,1586953.573023001,94651172.70473431,442,18368,1002,1583.79,3590.39,271,9719
751,BK-R93R-48,"Road-150 Red, 48",Bikes,Road Bikes,Red,3578.27,1540803.0620000053,94651172.70473431,409,18368,493,3125.36,3767.24,369,9719
957,BK-T79Y-60,"Touring-1000 Yellow, 60",Bikes,Touring Bikes,Yellow,2384.07,1518133.1011470014,94651172.70473431,433,18368,1114,1362.78,3506.08,236,9719
796,BK-R89B-58,"Road-250 Black, 58",Bikes,Road Bikes,Black,2443.35,1506377.632499999,94651172.70473431,486,18368,910,1655.36,3099.54,309,9719
789,BK-R89R-44,"Road-250 Red, 44",Bikes,Road Bikes,Red,2443.35,1448122.4789849971,94651172.70473431,364,18368,895,1618.01,3978.36,215,9719
954,BK-T79Y-46,"Touring-1000 Yellow, 46",Bikes,Touring Bikes,Yellow,2384.07,1426372.8693240013,94651172.70473431,440,18368,1005,1419.28,3241.76,262,9719
752,BK-R93R-52,"Road-150 Red, 52",Bikes,Road Bikes,Red,3578.27,1415563.6120000046,94651172.70473431,378,18368,458,3090.75,3744.88,336,9719
777,BK-M82B-44,"Mountain-100 Black, 44",Bikes,Mountain Bikes,Black,3374.99,1365852.378017999,94651172.70473431,242,18368,678,2014.53,5644.02,127,9719
790,BK-R89R-48,"Road-250 Red, 48",Bikes,Road Bikes,Red,2443.35,1348759.4975399973,94651172.70473431,377,18368,812,1661.03,3577.61,230,9719
750,BK-R93R-44,"Road-150 Red, 44",Bikes,Road Bikes,Red,3578.27,1340419.9420000042,94651172.70473431,358,18368,437,3067.32,3744.19,314,9719
775,BK-M82B-38,"Mountain-100 Black, 38",Bikes,Mountain Bikes,Black,3374.99,1339997.2546259998,94651172.70473431,234,18368,682,1964.81,5726.48,118,9719
771,BK-M82S-38,"Mountain-100 Silver, 38",Bikes,Mountain Bikes,Silver,3399.99,1291868.7003749993,94651172.70473431,241,18368,642,2012.26,5360.45,128,9719
776,BK-M82B-42,"Mountain-100 Black, 42",Bikes,Mountain Bikes,Black,3374.99,1254722.7322919993,94651172.70473431,228,18368,634,1979.06,5503.17,115,9719
778,BK-M82B-48,"Mountain-100 Black, 48",Bikes,Mountain Bikes,Black,3374.99,1234276.030375,94651172.70473431,243,18368,616,2003.69,5079.33,126,9719
801,BK-R64Y-48,"Road-550-W Yellow, 48",Bikes,Road Bikes,Yellow,1120.49,1233938.8776599977,94651172.70473431,723,18368,1763,699.91,1706.69,362,9719
797,BK-R64Y-38,"Road-550-W Yellow, 38",Bikes,Road Bikes,Yellow,1120.49,1227910.080859998,94651172.70473431,725,18368,1744,704.08,1693.67,370,9719
773,BK-M82S-44,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,Silver,3399.99,1217210.3599589996,94651172.70473431,233,18368,601,2025.31,5224.08,116,9719
772,BK-M82S-42,"Mountain-100 Silver, 42",Bikes,Mountain Bikes,Silver,3399.99,1186494.8502989993,94651172.70473431,221,18368,593,2000.83,5368.75,110,9719
974,BK-R79Y-42,"Road-350-W Yellow, 42",Bikes,Road Bikes,Yellow,1700.99,1120066.3643089987,94651172.70473431,455,18368,944,1186.51,2461.68,306,9719
967,BK-T79U-50,"Touring-1000 Blue, 50",Bikes,Touring Bikes,Blue,2384.07,1071401.058000001,94651172.70473431,336,18368,649,1650.85,3188.69,213,9719
798,BK-R64Y-40,"Road-550-W Yellow, 40",Bikes,Road Bikes,Yellow,1120.49,1071291.7811919977,94651172.70473431,687,18368,1500,714.19,1559.38,349,9719
791,BK-R89R-52,"Road-250 Red, 52",Bikes,Road Bikes,Red,2443.35,1066766.6099999982,94651172.70473431,314,18368,639,1669.43,3397.35,198,9719
770,BK-R50B-52,"Road-650 Black, 52",Bikes,Road Bikes,Black,782.99,1042909.778029999,94651172.70473431,703,18368,2270,459.43,1483.51,242,9719
774,BK-M82S-48,"Mountain-100 Silver, 48",Bikes,Mountain Bikes,Silver,3399.99,1019657.0009999997,94651172.70473431,204,18368,505,2019.12,4998.32,101,9719
760,BK-R50R-60,"Road-650 Red, 60",Bikes,Road Bikes,Red,782.99,1016529.0184139999,94651172.70473431,680,18368,2232,455.43,1494.9,207,9719
955,BK-T79Y-50,"Touring-1000 Yellow, 50",Bikes,Touring Bikes,Yellow,2384.07,981187.8492000012,94651172.70473431,342,18368,652,1504.89,2868.97,214,9719
762,BK-R50R-44,"Road-650 Red, 44",Bikes,Road Bikes,Red,782.99,943340.5597879991,94651172.70473431,689,18368,2254,418.52,1369.14,229,9719
799,BK-R64Y-42,"Road-550-W Yellow, 42",Bikes,Road Bikes,Yellow,1120.49,932039.5889999975,94651172.70473431,648,18368,1249,746.23,1438.33,384,9719
748,FR-M94S-38,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,1364.5,930780.6807000003,11802593.286430119,491,2650,1206,771.79,1895.68,111,580
743,FR-M94B-42,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,1349.6,901590.2335999998,11802593.286430119,481,2650,1181,763.41,1874.41,111,580
761,BK-R50R-62,"Road-650 Red, 62",Bikes,Road Bikes,Red,782.99,879827.9382429984,94651172.70473431,638,18368,1896,464.04,1379.04,222,9719
763,BK-R50R-48,"Road-650 Red, 48",Bikes,Road Bikes,Red,782.99,878666.663659998,94651172.70473431,649,18368,1888,465.4,1353.88,237,9719
765,BK-R50B-58,"Road-650 Black, 58",Bikes,Road Bikes,Black,782.99,869632.782450999,94651172.70473431,642,18368,1871,464.8,1354.57,223,9719
972,BK-T44U-54,"Touring-2000 Blue, 54",Bikes,Touring Bikes,Blue,1214.85,772302.0123000011,94651172.70473431,380,18368,1010,764.66,2032.37,185,9719
968,BK-T79U-54,"Touring-1000 Blue, 54",Bikes,Touring Bikes,Blue,2384.07,743353.0260000012,94651172.70473431,277,18368,413,1799.89,2683.58,210,9719
800,BK-R64Y-44,"Road-550-W Yellow, 44",Bikes,Road Bikes,Yellow,1120.49,717825.9114999988,94651172.70473431,495,18368,927,774.35,1450.15,324,9719
975,BK-R79Y-44,"Road-350-W Yellow, 44",Bikes,Road Bikes,Yellow,1700.99,694003.9199999986,94651172.70473431,332,18368,536,1294.78,2090.37,260,9719
956,BK-T79Y-54,"Touring-1000 Yellow, 54",Bikes,Touring Bikes,Yellow,2384.07,667158.1488000011,94651172.70473431,271,18368,397,1680.5,2461.84,204,9719
953,BK-T44U-60,"Touring-2000 Blue, 60",Bikes,Touring Bikes,Blue,1214.85,635723.7159000007,94651172.70473431,346,18368,820,775.27,1837.35,171,9719
758,BK-R68R-52,"Road-450 Red, 52",Bikes,Road Bikes,Red,1457.99,621103.7400000007,94651172.70473431,267,18368,710,874.79,2326.23,95,9719
998,BK-R19B-48,"Road-750 Black, 48",Bikes,Road Bikes,Black,539.99,578174.3128699986,94651172.70473431,685,18368,1556,371.58,844.05,461,9719
764,BK-R50R-52,"Road-650 Red, 52",Bikes,Road Bikes,Red,782.99,523630.1457999998,94651172.70473431,440,18368,1112,470.89,1190.07,158,9719
766,BK-R50B-60,"Road-650 Black, 60",Bikes,Road Bikes,Black,782.99,521898.2613759997,94651172.70473431,460,18368,1100,474.45,1134.56,171,9719
999,BK-R19B-52,"Road-750 Black, 52",Bikes,Road Bikes,Black,539.99,515666.9064359984,94651172.70473431,696,18368,1338,385.4,740.9,487,9719
768,BK-R50B-44,"Road-650 Black, 44",Bikes,Road Bikes,Black,782.99,509245.00899199984,94651172.70473431,441,18368,1080,471.52,1154.75,160,9719
754,BK-R68R-58,"Road-450 Red, 58",Bikes,Road Bikes,Red,1457.99,507978.2959000005,94651172.70473431,226,18368,582,872.81,2247.69,80,9719
747,FR-M94B-38,"HL Mountain Frame - Black, 38",Components,Mountain Frames,Black,1349.6,501788.1976999997,11802593.286430119,289,2650,659,761.44,1736.29,61,580
786,BK-M47B-40,"Mountain-300 Black, 40",Bikes,Mountain Bikes,Black,1079.99,501648.8750600002,94651172.70473431,223,18368,776,646.45,2249.55,69,9719
742,FR-M94S-46,"HL Mountain Frame - Silver, 46",Components,Mountain Frames,Silver,1364.5,499556.5723999998,11802593.286430119,288,2650,649,769.73,1734.57,66,580
835,FR-R72Y-44,"ML Road Frame-W - Yellow, 44",Components,Road Frames,Yellow,594.83,485700.5469490003,11802593.286430119,489,2650,1435,338.47,993.25,139,580
787,BK-M47B-44,"Mountain-300 Black, 44",Bikes,Mountain Bikes,Black,1079.99,484051.51800000016,94651172.70473431,228,18368,747,647.99,2123.03,74,9719
788,BK-M47B-48,"Mountain-300 Black, 48",Bikes,Mountain Bikes,Black,1079.99,479071.9001080002,94651172.70473431,223,18368,740,647.39,2148.3,71,9719
785,BK-M47B-38,"Mountain-300 Black, 38",Bikes,Mountain Bikes,Black,1079.99,442477.08695200016,94651172.70473431,220,18368,684,646.9,2011.26,72,9719
970,BK-T44U-46,"Touring-2000 Blue, 46",Bikes,Touring Bikes,Blue,1214.85,438867.47814000066,94651172.70473431,283,18368,538,815.74,1550.77,161,9719
718,FR-R92R-44,"HL Road Frame - Red, 44",Components,Road Frames,Red,1431.5,395182.6992999998,11802593.286430119,219,2650,486,813.13,1804.49,95,580
717,FR-R92R-62,"HL Road Frame - Red, 62",Components,Road Frames,Red,1431.5,394255.5723999998,11802593.286430119,218,2650,485,812.9,1808.51,103,580
838,FR-R92B-44,"HL Road Frame - Black, 44",Components,Road Frames,Black,1431.5,375026.9771999999,11802593.286430119,201,2650,459,817.05,1865.81,92,580
977,BK-R19B-58,"Road-750 Black, 58",Bikes,Road Bikes,Black,539.99,361145.3119999992,94651172.70473431,537,18368,892,404.87,672.52,397,9719
961,BK-T18Y-44,"Touring-3000 Yellow, 44",Bikes,Touring Bikes,Yellow,742.35,358121.88877499994,94651172.70473431,318,18368,851,420.82,1126.17,150,9719
965,BK-T18Y-62,"Touring-3000 Yellow, 62",Bikes,Touring Bikes,Yellow,742.35,351547.71141,94651172.70473431,319,18368,844,416.53,1102.03,141,9719
979,BK-T18U-50,"Touring-3000 Blue, 50",Bikes,Touring Bikes,Blue,742.35,348581.503515,94651172.70473431,306,18368,841,414.48,1139.16,141,9719
892,FR-T98U-54,"HL Touring Frame - Blue, 54",Components,Touring Frames,Blue,1003.91,324333.10330899997,11802593.286430119,169,2650,542,598.4,1919.13,79,580
981,BK-M38S-40,"Mountain-400-W Silver, 40",Bikes,Mountain Bikes,Silver,769.49,323703.8206680004,94651172.70473431,301,18368,617,524.64,1075.43,201,9719
889,FR-T98Y-54,"HL Touring Frame - Yellow, 54",Components,Touring Frames,Yellow,1003.91,323268.255972,11802593.286430119,161,2650,540,598.64,2007.88,73,580
767,BK-R50B-62,"Road-650 Black, 62",Bikes,Road Bikes,Black,782.99,312250.8138999998,94651172.70473431,293,18368,644,484.86,1065.7,143,9719
769,BK-R50B-48,"Road-650 Black, 48",Bikes,Road Bikes,Black,782.99,310946.5761999997,94651172.70473431,293,18368,644,482.84,1061.25,138,9719
755,BK-R68R-60,"Road-450 Red, 60",Bikes,Road Bikes,Red,1457.99,306177.90000000014,94651172.70473431,164,18368,350,874.79,1866.94,61,9719
759,BK-R50R-58,"Road-650 Red, 58",Bikes,Road Bikes,Red,782.99,304012.6410999999,94651172.70473431,282,18368,618,491.93,1078.06,142,9719
822,FR-R72Y-38,"ML Road Frame-W - Yellow, 38",Components,Road Frames,Yellow,594.83,303330.8412000003,11802593.286430119,356,2650,895,338.92,852.05,103,580
756,BK-R68R-44,"Road-450 Red, 44",Bikes,Road Bikes,Red,1457.99,302678.7240000001,94651172.70473431,171,18368,346,874.79,1770.05,61,9719
836,FR-R72Y-48,"ML Road Frame-W - Yellow, 48",Components,Road Frames,Yellow,594.83,301286.7891000003,11802593.286430119,350,2650,889,338.91,860.82,103,580
738,FR-R38B-52,"LL Road Frame - Black, 52",Components,Road Frames,Black,337.22,299595.522966,11802593.286430119,600,2650,1581,189.5,499.33,156,580
962,BK-T18Y-50,"Touring-3000 Yellow, 50",Bikes,Touring Bikes,Yellow,742.35,291747.26174999995,94651172.70473431,280,18368,686,425.29,1041.95,137,9719
997,BK-R19B-44,"Road-750 Black, 44",Bikes,Road Bikes,Black,539.99,290298.6239999993,94651172.70473431,466,18368,656,442.53,622.96,393,9719
958,BK-T18U-54,"Touring-3000 Blue, 54",Bikes,Touring Bikes,Blue,742.35,290075.11837499996,94651172.70473431,281,18368,686,422.85,1032.3,136,9719
971,BK-T44U-50,"Touring-2000 Blue, 50",Bikes,Touring Bikes,Blue,1214.85,286218.6600000003,94651172.70473431,198,18368,322,888.88,1445.55,135,9719
739,FR-M94S-42,"HL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,1364.5,269874.0096,11802593.286430119,167,2650,347,777.73,1616.01,82,580
980,BK-M38S-38,"Mountain-400-W Silver, 38",Bikes,Mountain Bikes,Silver,769.49,241773.7580000004,94651172.70473431,253,18368,425,568.88,955.63,183,9719
876,RA-H123,Hitch Rack - 4-Bike,Accessories,Bike Racks,,120.0,237096.15599999996,1272072.8839260074,796,19524,3166,74.89,297.86,480,15461
885,FR-T98Y-60,"HL Touring Frame - Yellow, 60",Components,Touring Frames,Yellow,1003.91,232378.26021199996,11802593.286430119,135,2650,387,600.46,1721.32,62,580
983,BK-M38S-46,"Mountain-400-W Silver, 46",Bikes,Mountain Bikes,Silver,769.49,227347.6672760003,94651172.70473431,239,18368,401,566.95,951.25,171,9719
893,FR-T98U-60,"HL Touring Frame - Blue, 60",Components,Touring Frames,Blue,1003.91,221720.95243399995,11802593.286430119,140,2650,371,597.63,1583.72,58,580
982,BK-M38S-42,"Mountain-400-W Silver, 42",Bikes,Mountain Bikes,Silver,769.49,217457.8740000003,94651172.70473431,231,18368,385,564.83,941.38,163,9719
959,BK-T18U-58,"Touring-3000 Blue, 58",Bikes,Touring Bikes,Blue,742.35,210946.17600000004,94651172.70473431,239,18368,482,437.65,882.62,126,9719
832,FR-M63B-48,"ML Mountain Frame - Black, 48",Components,Mountain Frames,Black,348.76,200284.49775999988,11802593.286430119,256,2650,959,208.85,782.36,98,580
715,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,49.99,198754.9753600013,2120542.524800943,1635,9877,6592,30.15,121.56,718,7327
963,BK-T18Y-54,"Touring-3000 Yellow, 54",Bikes,Touring Bikes,Yellow,742.35,196809.97612499996,94651172.70473431,227,18368,453,434.46,867.0,115,9719
729,FR-R38R-60,"LL Road Frame - Red, 60",Components,Road Frames,Red,337.22,195933.4094,11802593.286430119,375,2650,996,196.72,522.49,129,580
904,FR-M63S-40,"ML Mountain Frame-W - Silver, 40",Components,Mountain Frames,Silver,364.09,195826.38904400007,11802593.286430119,253,2650,899,217.83,774.02,97,580
725,FR-R38R-44,"LL Road Frame - Red, 44",Components,Road Frames,Red,337.22,194692.59910400008,11802593.286430119,374,2650,991,196.46,520.57,127,580
722,FR-R38B-58,"LL Road Frame - Black, 58",Components,Road Frames,Black,337.22,177635.90399999998,11802593.286430119,392,2650,940,188.97,453.15,113,580
